"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"/home/ahnaf/Documents/Web Development/Trip/src/App.tsx", "TypeScript JSX", 20, 0, 0, 0, 3, 23
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/CreateRouteLeftBar/CreateRouteLeftbar.tsx", "TypeScript JSX", 41, 0, 0, 0, 3, 44
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/CreateRouteTopbar/CreateRouteTopbar.tsx", "TypeScript JSX", 85, 0, 0, 0, 12, 97
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/EdgeWithPlusIcon/EdgeWithPlusIcon.tsx", "TypeScript JSX", 74, 0, 0, 9, 8, 91
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/MultipleSelect/MultipleSelect.tsx", "TypeScript JSX", 70, 0, 0, 0, 7, 77
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/Navbar/Navbar.tsx", "TypeScript JSX", 25, 0, 0, 0, 3, 28
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/ReactQuill/ReactQuillEditor.tsx", "TypeScript JSX", 42, 0, 0, 18, 9, 69
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/SearchPageTop/SearchPageTop.tsx", "TypeScript JSX", 75, 0, 0, 1, 8, 84
"/home/ahnaf/Documents/Web Development/Trip/src/Compents/SideToolBox/SideToolBox.tsx", "TypeScript JSX", 111, 0, 0, 2, 5, 118
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/EndNode/EndNode.tsx", "TypeScript JSX", 23, 0, 0, 0, 3, 26
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/RouteNode/RouteNode.tsx", "TypeScript JSX", 110, 0, 0, 1, 9, 120
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/StartNode/StartNode.tsx", "TypeScript JSX", 23, 0, 0, 0, 3, 26
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/UpdateNode/Update/UpdateRouteNode.tsx", "TypeScript JSX", 190, 0, 0, 0, 9, 199
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/UpdateNode/Update/UpdateVehicleNode.tsx", "TypeScript JSX", 217, 0, 0, 0, 13, 230
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/UpdateNode/UpdateNode.tsx", "TypeScript JSX", 27, 0, 0, 2, 7, 36
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/VehicleNode/VehicleNode.tsx", "TypeScript JSX", 55, 0, 0, 1, 6, 62
"/home/ahnaf/Documents/Web Development/Trip/src/Nodes/ViewNode/ViewRouteNode.tsx", "TypeScript JSX", 82, 0, 0, 0, 8, 90
"/home/ahnaf/Documents/Web Development/Trip/src/Pages/CreateRoute.tsx", "TypeScript JSX", 157, 0, 0, 6, 16, 179
"/home/ahnaf/Documents/Web Development/Trip/src/Pages/HomePage.tsx", "TypeScript JSX", 95, 0, 0, 0, 9, 104
"/home/ahnaf/Documents/Web Development/Trip/src/Pages/Login.tsx", "TypeScript JSX", 62, 0, 0, 0, 3, 65
"/home/ahnaf/Documents/Web Development/Trip/src/Pages/Register.tsx", "TypeScript JSX", 88, 0, 0, 0, 3, 91
"/home/ahnaf/Documents/Web Development/Trip/src/Pages/SearchPage.tsx", "TypeScript JSX", 147, 0, 0, 1, 3, 151
"/home/ahnaf/Documents/Web Development/Trip/src/Pages/TempPage.tsx", "TypeScript JSX", 215, 0, 0, 2, 17, 234
"/home/ahnaf/Documents/Web Development/Trip/src/index.css", "CSS", 0, 0, 15, 0, 4, 19
"/home/ahnaf/Documents/Web Development/Trip/src/main.tsx", "TypeScript JSX", 23, 0, 0, 0, 3, 26
"/home/ahnaf/Documents/Web Development/Trip/src/slices/CustomNodeSlice.ts", "TypeScript", 0, 20, 0, 0, 5, 25
"/home/ahnaf/Documents/Web Development/Trip/src/store.ts", "TypeScript", 0, 9, 0, 2, 2, 13
"/home/ahnaf/Documents/Web Development/Trip/src/util.ts", "TypeScript", 0, 40, 0, 0, 5, 45
"Total", "-", 2057, 69, 15, 45, 186, 2372